,A,B
163,36,2006-01-03
70,52,2006-01-06
35,88,2006-01-17
179,78,2006-01-22
71,23,2006-01-24
208,25,2006-01-26
29,6,2006-01-29
103,16,2006-01-31
113,62,2006-02-07
221,83,2006-02-10
110,13,2006-02-12
140,59,2006-02-14
132,50,2006-02-20
63,23,2006-02-22
187,109,2006-02-25
177,1,2006-03-19
213,22,2006-03-22
157,15,2006-06-17
128,51,2006-06-20
108,58,2006-06-24
68,7,2006-06-28
48,23,2006-07-01
79,22,2006-10-07
144,80,2006-10-10
218,39,2006-10-17
46,19,2006-10-20
215,0,2006-10-24
82,36,2006-12-28
116,15,2007-01-02
105,79,2007-01-06
1,110,2007-02-11
98,0,2007-02-14
66,1,2007-02-17
143,76,2007-03-15
60,56,2007-03-21
145,15,2007-03-23
129,28,2007-03-28
16,7,2007-04-01
216,17,2007-04-04
156,69,2007-04-12
146,0,2007-04-16
33,10,2007-04-18
165,18,2007-04-24
102,54,2007-04-28
171,16,2007-07-20
54,6,2007-07-23
11,18,2007-07-25
62,38,2007-10-01
191,9,2007-10-04
22,69,2007-10-10
42,26,2007-10-13
121,42,2008-02-08
41,80,2008-02-15
203,128,2008-02-19
182,22,2008-02-22
10,33,2008-02-26
210,11,2008-02-29
160,23,2008-04-10
120,28,2008-04-12
155,101,2008-06-25
94,0,2008-06-26
139,112,2008-06-29
220,121,2008-06-30
61,7,2008-07-03
198,4,2008-07-06
36,19,2008-08-18
25,2,2008-08-20
104,9,2008-08-24
117,6,2008-08-27
164,1,2008-08-29
44,46,2008-11-20
20,28,2008-11-22
53,57,2008-11-24
225,28,2008-11-30
149,0,2009-01-14
222,49,2009-01-20
15,16,2009-01-21
51,50,2009-01-24
73,44,2009-01-28
92,4,2009-01-31
138,83,2009-02-03
148,56,2009-02-05
176,84,2009-02-08
8,36,2009-07-30
58,2,2009-08-01
174,37,2009-08-03
223,39,2009-08-07
136,16,2009-08-09
154,18,2009-09-08
130,5,2009-09-12
67,33,2009-09-14
168,54,2009-09-22
88,1,2009-09-25
114,11,2009-09-27
167,90,2009-12-15
227,21,2009-12-18
30,46,2009-12-21
32,60,2009-12-24
34,74,2010-01-04
26,60,2010-01-05
184,17,2010-01-08
43,68,2010-01-10
106,55,2010-01-13
200,42,2010-06-15
45,52,2010-06-18
124,73,2010-06-22
158,17,2010-06-24
17,48,2010-08-13
109,2,2010-08-16
190,13,2010-08-22
5,71,2010-08-28
4,49,2010-11-03
197,45,2010-11-05
189,0,2010-11-07
107,20,2011-02-03
125,75,2011-02-06
162,92,2011-02-20
181,49,2011-02-26
178,27,2011-03-01
150,11,2011-03-10
133,111,2011-03-18
153,54,2011-03-29
85,48,2011-04-02
2,4,2011-06-28
195,69,2011-07-01
192,25,2011-07-03
59,75,2011-07-06
7,48,2011-07-09
3,16,2011-08-10
64,52,2011-08-14
193,49,2011-08-16
194,31,2011-08-20
9,7,2011-08-22
90,5,2011-11-11
118,5,2011-11-14
161,45,2011-11-18
83,58,2011-11-20
86,78,2011-11-23
206,4,2012-01-11
23,3,2012-01-14
38,38,2012-01-17
173,32,2012-01-20
224,102,2012-01-22
28,26,2012-02-08
226,22,2012-02-10
6,30,2012-02-17
175,8,2012-02-21
147,22,2012-02-24
93,105,2012-02-28
74,64,2012-03-02
159,42,2012-03-04
123,51,2012-03-06
97,19,2012-03-08
99,65,2012-03-13
111,71,2012-03-15
87,6,2012-03-20
77,9,2012-06-07
137,18,2012-06-09
75,97,2012-06-16
91,40,2012-06-18
76,133,2012-07-21
135,73,2012-07-28
185,11,2012-11-04
201,15,2012-11-06
0,42,2012-11-10
196,63,2013-03-23
49,48,2013-03-28
211,68,2013-06-09
219,134,2013-06-13
95,3,2013-06-17
142,17,2013-06-20
209,17,2013-06-28
101,90,2013-07-07
131,0,2013-07-09
151,71,2013-07-11
126,169,2013-07-20
199,37,2013-07-23
186,0,2013-07-26
47,91,2013-07-28
19,75,2013-07-31
89,71,2013-11-12
57,0,2013-11-16
55,23,2013-12-18
207,58,2013-12-20
18,14,2013-12-22
188,51,2013-12-25
127,22,2013-12-27
169,8,2014-02-17
13,128,2014-02-20
183,67,2014-02-25
122,103,2014-02-28
27,76,2014-03-03
80,2,2014-03-06
115,0,2014-03-08
202,8,2014-05-22
65,40,2014-05-25
214,13,2014-05-28
141,112,2014-05-31
96,2,2014-06-03
172,88,2014-07-06
134,7,2014-07-09
78,36,2014-07-12
50,25,2014-08-23
204,11,2014-08-26
40,2,2014-08-30
170,13,2014-11-02
24,61,2014-11-06
180,0,2014-11-09
31,2,2014-11-26
72,67,2014-11-29
112,63,2014-12-03
84,86,2014-12-07
119,91,2014-12-10
69,112,2014-12-13
21,33,2014-12-16
166,4,2015-01-11
100,38,2015-01-15
212,76,2015-01-20
52,9,2015-01-23
205,81,2015-01-25
39,113,2015-01-29
217,39,2015-02-14
56,7,2015-02-22
152,105,2015-02-26
14,117,2015-03-01
12,104,2015-03-08
81,124,2015-03-11
37,45,2015-03-18
